publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,date,title,weeks_on_list,num_words_in_title
Riverhead,0,https://www.nytimes.com/2015/01/05/books/the-girl-on-the-train-by-paula-hawkins.html,Paula Hawkins,1594634025,0,9.78E+12,https://www.nytimes.com/2015/02/01/books/review/the-girl-on-the-train-by-paula-hawkins.html,by Paula Hawkins,2/19/17,THE GIRL ON THE TRAIN,102,5
Vintage,0,,E L James,525431888,0,9.78E+12,,by E. L. James,3/5/17,FIFTY SHADES DARKER,66,3
Washington Square,0,,Fredrik Backman,1476738025,0,9.78E+12,,by Fredrik Backman,4/10/17,A MAN CALLED OVE,45,4
Berkley,0,https://www.nytimes.com/2014/07/25/books/in-big-little-lies-liane-moriarty-finds-new-complications.html,Liane Moriarty,698138635,0,9.78E+12,,by Liane Moriarty,4/10/17,BIG LITTLE LIES,33,3
Dell,0,,Diana Gabaldon,440335167,0,9.78E+12,,by Diana Gabaldon,8/28/16,OUTLANDER,20,1
Forge Books,0,,W Bruce Cameron,765388111,0,9.78E+12,,by W. Bruce Cameron,4/10/17,A DOG'S PURPOSE,17,4
Andrews McMeel,0,,Rupi Kaur,144947425X,0,9.78E+12,,by Rupi Kaur,4/10/17,MILK AND HONEY,16,3
Doubleday,0,https://www.nytimes.com/2016/11/06/books/review/john-grisham-whistler.html,John Grisham,385541201,0,9.78E+12,,by John Grisham,2/26/17,THE WHISTLER,16,1
Doubleday,0,https://www.nytimes.com/2016/08/14/books/review/colson-whitehead-underground-railroad.html,Colson Whitehead,385542364,0,9.78E+12,,by Colson Whitehead,2/12/17,THE UNDERGROUND RAILROAD,16,3
Ballantine,0,https://www.nytimes.com/2016/10/16/books/review/jodi-picoult-small-great-things-roxane-gay.html,Jodi Picoult,034554496X,0,9.78E+12,,by Jodi Picoult,2/12/17,SMALL GREAT THINGS,16,3
Grand Central,0,,Nicholas Sparks,1455520691,0,9.78E+12,,by Nicholas Sparks,2/5/17,TWO BY TWO,16,3
