publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
Riverhead,0,https://www.nytimes.com/2015/01/05/books/the-girl-on-the-train-by-paula-hawkins.html,Paula Hawkins,1594634025,0,9.78E+12,https://www.nytimes.com/2015/02/01/books/review/the-girl-on-the-train-by-paula-hawkins.html,by Paula Hawkins,,2/19/17,THE GIRL ON THE TRAIN,NA,102,5
Vintage,0,,E L James,525431888,0,9.78E+12,,by E. L. James,,3/5/17,FIFTY SHADES DARKER,NA,66,3
Washington Square,0,,Fredrik Backman,1476738025,0,9.78E+12,,by Fredrik Backman,,4/10/17,A MAN CALLED OVE,NA,45,4
Berkley,0,https://www.nytimes.com/2014/07/25/books/in-big-little-lies-liane-moriarty-finds-new-complications.html,Liane Moriarty,698138635,0,9.78E+12,,by Liane Moriarty,,4/10/17,BIG LITTLE LIES,NA,33,3
Knopf Doubleday Publishing,0,https://www.nytimes.com/2008/09/30/books/30kaku.html,Stieg Larsson,307272117,0,9.78E+12,https://www.nytimes.com/2008/09/14/books/review/Berenson-t.html,by Stieg Larsson,,1/13/13,THE GIRL WITH THE DRAGON TATTOO,NA,31,6
Grand Central,0,,Nicholas Sparks,1455520667,0,9.78E+12,,by Nicholas Sparks,,5/17/15,THE LONGEST RIDE,NA,25,3
Penguin Group,0,,Sylvia Day,None,0,9.78E+12,,by Sylvia Day,,2/10/13,BARED TO YOU,NA,21,3
Dell,0,,Diana Gabaldon,440335167,0,9.78E+12,,by Diana Gabaldon,,8/28/16,OUTLANDER,NA,20,1
Scribner,0,https://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html,Stephen King,1501120603,0,9.78E+12,https://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html,by Stephen King,,3/6/16,11/22/63,NA,19,3
Vintage,0,,E L James,345803574,0,9.78E+12,,by E. L. James,,3/8/15,FIFTY SHADES TRILOGY,NA,19,3
Forge Books,0,,W Bruce Cameron,765388111,0,9.78E+12,,by W. Bruce Cameron,,4/10/17,A DOG'S PURPOSE,NA,17,4
